label,BioViL-T (86M)_accuracy,BioViL-T (86M)_flip_rate,BioViL-T (86M)_n_cases,Qwen2-VL (2B)_accuracy,Qwen2-VL (2B)_flip_rate,Qwen2-VL (2B)_n_cases,LLaVA-Med (7B)_accuracy,LLaVA-Med (7B)_flip_rate,LLaVA-Med (7B)_n_cases,CheXagent (8B)_accuracy,CheXagent (8B)_flip_rate,CheXagent (8B)_n_cases,GPT-4o (~200B)_accuracy,GPT-4o (~200B)_flip_rate,GPT-4o (~200B)_n_cases
atelectasis,0.26,0.5325,50,0.66,0.2508,50,0.6,0.2992,50,0.06,0.2131,50,0.88,0.2031,50
cardiomegaly,0.68,0.213,50,0.94,0.0792,50,0.74,0.2423,50,0.16,0.2692,50,0.62,0.25,50
consolidation,0.0851,0.5957,47,0.7234,0.2128,47,0.5957,0.428,47,0.0851,0.3625,47,0.9362,0.1751,47
edema,0.62,0.625,50,0.64,0.3315,50,0.64,0.3262,50,0.94,0.0685,50,0.88,0.2185,50
enlarged cardiomediastinum,0.32,0.1854,50,0.04,0.1585,50,0.22,0.4477,50,0.4,0.3331,50,0.4,0.3108,50
fracture,0.36,0.515,50,0.02,0.2777,50,0.2,0.3877,50,0.7,0.2062,50,0.7,0.2654,50
lung lesion,0.2245,0.6301,49,0.0612,0.2622,49,0.0816,0.3893,49,0.3673,0.3006,49,0.449,0.2818,49
lung opacity,0.0,0.55,50,0.28,0.3246,50,0.18,0.4146,50,0.16,0.3177,50,0.28,0.28,50
no finding,0.0,0.5875,50,0.06,0.3031,50,0.2,0.4231,50,0.16,0.2715,50,0.08,0.2577,50
pleural effusion,0.52,0.57,50,0.76,0.2815,50,0.56,0.3954,50,0.02,0.26,50,0.96,0.17,50
pleural other,0.38,0.59,50,0.0,0.2715,50,0.02,0.4338,50,0.0,0.2992,50,0.34,0.2769,50
pneumonia,0.2727,0.6818,11,0.8182,0.2552,11,0.6364,0.3741,11,0.0,0.3007,11,0.7273,0.1573,11
pneumothorax,0.76,0.5575,50,0.94,0.1931,50,0.76,0.29,50,0.68,0.3654,50,0.96,0.1869,50
support devices,0.48,0.5425,50,0.0,0.2223,50,0.0,0.3515,50,0.12,0.26,50,0.56,0.1892,50
